Product_Name,Brand,Selling_Price,MRP,Date,Rating,Purchases,Current_Stock,Traffic,Conversion_Rate,Replenishment_Rate,Demand_Score
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,51990.0,74990.0,2023-01-01,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,55640.39789930942,74990.0,2023-01-08,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,59086.29014286821,74990.0,2023-01-15,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,62135.05620029013,74990.0,2023-01-22,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,64617.15507163229,74990.0,2023-01-29,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,66395.97839405533,74990.0,2023-02-05,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,67375.78962332047,74990.0,2023-02-12,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,67507.28789375244,74990.0,2023-02-19,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,66790.47320535127,74990.0,2023-02-26,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,65274.646423792175,74990.0,2023-03-05,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,63055.54409331396,74990.0,2023-03-12,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,60269.77457675599,74990.0,2023-03-19,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,57086.87887406116,74990.0,2023-03-26,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,53699.47751561569,74990.0,2023-04-02,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,50312.076157170224,74990.0,2023-04-09,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,47129.18045447538,74990.0,2023-04-16,4.6,797,73,2759,0.09,17,711.4011781
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,44343.41093791742,74990.0,2023-04-23,4.6,797,73,2759,0.09,17,711.4011781
